Date,Open,High,Low,Close,Adj Close,Volume,Days
,,,,,,,0
2022-02-14,28.059999,28.25,26.01,26.620001,26.620001,9796500,1
2022-02-21,26.379999,27.02,24.610001,26.809999,26.809999,8721600,2
2022-02-28,26.4,29.08,25.139999,25.32,25.32,16960800,3
2022-03-07,25.26,26.629999,23.940001,25.84,25.84,8969800,4
2022-03-14,26.26,27.34,25.27,26.83,26.83,7906500,5
2022-03-21,26.799999,27.08,24.870001,25.469999,25.469999,7162700,6
2022-03-28,25.389999,27.030001,24.200001,24.709999,24.709999,8005400,7
2022-04-04,24.77,25.59,23.5,25.23,25.23,11164100,8
2022-04-11,25.23,26.5,25.059999,26.059999,26.059999,5367500,9
2022-04-18,26.110001,26.959999,23.65,23.67,23.67,9713900,10
2022-04-25,23.51,25,23.299999,23.799999,23.799999,7258000,11
2022-05-02,23.790001,25.129999,23.02,23.139999,23.139999,7044800,12
2022-05-09,22.959999,23.66,21.35,22.719999,22.719999,7902300,13
2022-05-16,22.540001,23.66,19.52,19.98,19.98,11499800,14
2022-05-23,19.950001,21.780001,17.809999,21.68,21.68,27437100,15
2022-05-30,21.379999,22.35,20.799999,22.139999,22.139999,12163300,16
2022-06-06,23.040001,23.200001,21.059999,21.24,21.24,12180700,17
2022-06-13,20.690001,21.75,19.860001,20.969999,20.969999,25804900,18
2022-06-20,21.17,21.4,19.4,21.030001,21.030001,10341700,19
2022-06-27,21.290001,21.51,18.200001,19.059999,19.059999,9402400,20
2022-07-04,18.82,20.450001,18.559999,20.049999,20.049999,8164300,21
2022-07-11,19.82,20.1,18.780001,19.280001,19.280001,8179200,22
2022-07-18,19.59,21.639999,19.58,20.860001,20.860001,8512800,23
2022-07-25,20.9,20.959999,18.68,20.48,20.48,9869000,24
2022-08-01,20.360001,21.280001,19.68,20.370001,20.370001,8797400,25
2022-08-08,20.68,22.33,20.280001,22.290001,22.290001,9488500,26
2022-08-15,22.120001,25.07,22.030001,22.33,22.33,12309600,27
2022-08-22,21.969999,23.17,21.309999,21.700001,21.700001,16839300,28
2022-08-29,21.719999,21.74,19.639999,20.57,20.57,8012800,29
2022-09-05,20.889999,22.59,20.299999,22.309999,22.309999,10065500,30
2022-09-12,22.51,23.17,20.67,21.639999,21.639999,11114700,31
2022-09-19,21.5,22.08,20.35,21,21,10224600,32
2022-09-26,20.92,21.52,18.75,19.65,19.65,10922700,33
2022-10-03,20.049999,22.049999,19.66,21.780001,21.780001,7364500,34
2022-10-10,22.040001,22.950001,20.93,22.17,22.17,9072300,35
2022-10-17,22.709999,23.74,22.1,23.24,23.24,10541700,36
2022-10-24,23.290001,25.1,22.66,24.68,24.68,9421300,37
2022-10-31,24.559999,24.809999,22.389999,23.120001,23.120001,7836300,38
2022-11-07,23.24,25.43,22.370001,25.35,25.35,8769100,39
2022-11-14,25.02,26.639999,23.9,26.040001,26.040001,12083700,40
2022-11-21,25.709999,28.34,25.059999,28.290001,28.290001,13701200,41
2022-11-28,27.91,29.559999,27.85,29.530001,29.530001,8825200,42
2022-12-05,29.41,29.639999,27.27,27.360001,27.360001,8231000,43
2022-12-12,27.57,28.780001,26.139999,26.27,26.27,8554000,44
2022-12-19,26.25,26.51,23.75,24.120001,24.120001,9460400,45
2022-12-26,24.129999,24.25,23.26,23.85,23.85,6944200,46
2023-01-02,24.01,25.950001,23.549999,25.49,25.49,8368400,47
2023-01-09,25.389999,29.389999,25.120001,28.35,28.35,10151900,48
2023-01-16,27.940001,28.32,26.030001,26.92,26.92,6365000,49
2023-01-23,27.059999,28.280001,26.530001,26.76,26.76,6109800,50
2023-01-30,26.42,29.74,26.370001,28.98,28.98,7255500,51
2023-02-06,28.530001,29,25.93,26.66,26.66,6396100,52
2023-02-13,26.559999,27.245001,26.4,27.129999,27.129999,348709,53